num,footage,latitude,longitude,num_ba,num_br,price,type,url
97,,37.418339,-122.128874,1,1,2350,apt,http://sfbay.craigslist.org/pen/apa/6067397504.html
98,,37.418339,-122.128874,1,2,2650,apt,http://sfbay.craigslist.org/pen/apa/6067377355.html
99,,37.801454,-122.42357,2,2,4395,apt,http://sfbay.craigslist.org/sfc/apa/6092956901.html
100,1000,37.7589,-122.1853,1,2,1650,apt,http://sfbay.craigslist.org/eby/apa/6092956583.html
101,750,37.396107,-122.099926,1,1,2075,apt,http://sfbay.craigslist.org/pen/apa/6092952355.html
102,1650,37.609392,-122.40174,2,3,4500,condo,http://sfbay.craigslist.org/pen/apa/6092955895.html
103,,39.121354,-122.863691,,,425,apt,http://sfbay.craigslist.org/nby/apa/6057475025.html
104,,37.778472,-122.440517,1,0,2495,apt,http://sfbay.craigslist.org/sfc/apa/6092954801.html
105,,37.705178,-121.899158,2,2,2650,apt,http://sfbay.craigslist.org/eby/apa/6092916359.html
106,,37.72495,-122.461211,2,3,4500,apt,http://sfbay.craigslist.org/sfc/apa/6092954536.html
107,710,37.772449,-122.418425,1,1,2975,apt,http://sfbay.craigslist.org/sfc/apa/6084748662.html
108,400,37.749351,-122.452123,1,1,2200,apt,http://sfbay.craigslist.org/sfc/apa/6092953746.html
109,,37.75364,-122.466658,1,1,2495,apt,http://sfbay.craigslist.org/sfc/apa/6092953236.html
110,1000,38.003921,-121.821067,1,2,1600,condo,http://sfbay.craigslist.org/eby/apa/6092952969.html
111,,37.724588,-122.43487,1,2,2700,apt,http://sfbay.craigslist.org/sfc/apa/6092952770.html
112,,37.7695,-121.5397,5,4,2599,apt,http://sfbay.craigslist.org/eby/apa/6092918099.html
113,802,37.8002,-122.4091,1,2,3300,apt,http://sfbay.craigslist.org/sfc/apa/6092951878.html
114,550,37.442904,-122.125354,1,1,2200,apt,http://sfbay.craigslist.org/pen/apa/6092944258.html
